"ISBN";"1st-Keyword";"2nd-Keyword";"Book-Author";"Year-of-Publication"
"0812523466";"alternate";"warriors";"Mike Resnick";"1993"
"0812524012";"finn";"cool";"Morgan Llywelyn";"1995"
"0812524160";"levels";"nine";"William R. Dantz";"1999"
"0812524268";"prophet";"tales";"Orson Scott Card";"1992"
"0812524586";"enders";"game";"Orson Scott Card";"1986"
"0812524713";"american";"story";"David Nevin";"1997"
"0812524802";"moving";"mars";"Greg Bear";"1994"
"0812524829";"slant";"null";"Greg Bear";"1998"
"0812524853";"burning";"burning";"Mercedes Lackey";"1992"
"0812524969";"beowulfs";"children";"Steven Barnes";"1996"
"0812524977";"mcgarvey";"critical";"David Hagberg";"1999"
"0812528042";"byzantium";"flame";"Chelsea Quinn Yarbro";"1988"
"0812530055";"college";"magics";"Caroline Stevermer";"1995"
"0812530225";"stars";"also";"Poul Anderson";"1995"
"0812531019";"against";"race";"Piers Anthony";"1985"
"0812531035";"shade";"tree";"Piers Anthony";"1987"
"0812531108";"against";"race";"Piers Anthony";"1985"
"0812531167";"prostho";"plus";"Piers Anthony";"1986"
"0812531272";"ghost";"null";"Piers Anthony";"1992"
"0812531353";"million";"years";"Poul Anderson";"1994"
"0812532236";"privateers";"null";"Ben Bova";"1986"
"0812532538";"enders";"game";"Orson Scott Card";"1986"
"0812532554";"songmaster";"null";"Orson Scott Card";"1987"
"0812532570";"paperback";"speaker";"Orson Scott Card";"1987"
"0812532597";"paperback";"homecoming";"Orson Scott Card";"1999"
"0812532619";"earth";"call";"Orson Scott Card";"1994"
"0812532635";"homecoming";"homecoming";"Orson Scott Card";"1995"
"0812533054";"seventh";"tales";"Orson Scott Card";"1993"
"0812533313";"worthing";"saga";"Orson Scott Card";"1992"
"0812533453";"mother";"storms";"John Barnes";"1995"
"0812533534";"paperback";"seventh";"Orson Scott Card";"1988"
"0812533550";"paperback";"enders";"Orson Scott Card";"1986"
"0812533577";"wyrms";"null";"Orson Scott Card";"1988"
"0812533593";"paperback";"prophet";"Orson Scott Card";"1988"
"0812533666";"geodyssey";"woman";"Piers Anthony";"1994"
"0812534050";"engineer";"recluce";"L. E. Modesitt Jr.";"1995"
"0812534077";"memory";"dream";"Charles De Lint";"1995"
"0812534085";"newford";"ivory";"Charles de Lint";"1996"
"0812534271";"without";"world";"Molly Cochran";"1997"
"0812534417";"midnight";"mystery";"Carole Nelson Douglas";"1994"
"0812534832";"xanth";"demons";"Piers Anthony";"1994"
"0812534840";"xanth";"harpy";"Piers Anthony";"1995"
"0812534859";"gargoyle";"xanth";"Piers Anthony";"1995"
"0812534867";"place";"hard";"Piers Anthony";"1996"
"0812535103";"people";"tree";"Naomi M. Stokes";"1996"
"0812536037";"infinity";"concerto";"Greg Bear";"1996"
"0812536355";"deepness";"thought";"Vernor Vinge";"2000"
"0812538986";"kinrowan";"jack";"Charles De Lint";"1995"
"0812540018";"simple";"dead";"Jon Land";"1999"
"0812540026";"spellsong";"spellsong";"L. E. Modesitt Jr.";"1999"
"0812540123";"midnight";"mystery";"Carole Nelson Douglas";"1997"
"0812540220";"lunch";"free";"Spider Robinson";"2002"
"0812540336";"mysteries,";"visitant";"Kathleen O'Neal Gear";"2000"
"0812540344";"mysteries,";"summoning";"Kathleen O'Neal Gear";"2001"
"0812541626";"runelords";"runelords,";"David Farland";"1999"
"0812541642";"waiting";"null";"Frank M. Robinson";"2000"
"0812541669";"espresso";"double";"Anthony Bruno";"1999"
"0812542835";"reliquary";"null";"Douglas Preston";"1998"
"0812543122";"sensibility";"sense";"Jane Austen";"1995"
"0812543262";"relic";"null";"Douglas Preston";"2003"
"0812544145";"midnight";"mystery";"Carole Nelson Douglas";"1996"
"0812544161";"paperback";"chronicles";"Jack Whyte";"1999"
"0812544390";"joshuas";"hammer";"David Hagberg";"2001"
"0812544412";"oldfashioned";"light";"Andrew M. Greeley";"1996"
"0812544420";"mysteries";"horror";"Andrew M. Greeley";"1998"
"0812544439";"contract";"angel";"Andrew M. Greeley";"2004"
"0812544501";"series";"fairy";"Pamela Dean";"1992"
"0812544706";"implant";"null";"F. Paul Wilson";"1996"
"0812545249";"chronoliths";"the";"Robert Charles Wilson";"2002"
"0812545508";"prince";"ombra";"Roderick MacLeish";"1983"
"0812545591";"spellsong";"sorceress";"L. E. Modesitt Jr.";"1998"
"0812548051";"wizards";"sword";"Terry Goodkind";"1997"
"0812548094";"sword";"truth,";"Terry Goodkind";"1996"
"0812548418";"flying";"pieces";"Dean Ing";"1998"
"0812550285";"swords";"crown";"Robert Jordan";"1997"
"0812550293";"daggers";"wheel";"Robert Jordan";"1999"
"0812550307";"heaven";"fires";"Robert Jordan";"1994"
"0812550390";"listeners";"null";"Christopher Pike";"1998"
"0812550447";"silence";"kaelar";"Elizabeth Kerner";"1998"
"0812550706";"paperback";"enders";"Orson Scott Card";"1994"
"0812550749";"firebird";"null";"Mercedes Lackey";"1997"
"0812550757";"paperback";"speaker";"Orson Scott Card";"1994"
"0812550765";"mcgrail";"novels";"Andrew M. Greeley";"1995"
"0812550773";"paperback";"mcgrail";"Andrew M. Greeley";"1997"
"0812550943";"mirage";"null";"Soheir Khashoggi";"1997"
"0812551389";"chronicles,";"skystone";"Jack Whyte";"1996"
"0812551397";"chronicles,";"camulod";"Jack Whyte";"1997"
"0812551478";"sword";"truth,";"Terry Goodkind";"1997"
"0812551486";"temple";"sword";"Terry Goodkind";"1998"
"0812551494";"sword";"truth,";"Terry Goodkind";"2000"
"0812551583";"someplace";"newford";"Charles de Lint";"1999"
"0812552636";"dragonfly";"null";"John Farris";"1996"
"0812553993";"llywelyn";"ireland";"Morgan Llywelyn";"1996"
"0812555104";"xanth";"xanth";"Piers Anthony";"1997"
"0812555112";"xanth";"amp";"Piers Anthony";"1998"
"0812555120";"xanth";"zombie";"Piers Anthony";"1999"
"0812555171";"expiration";"date";"Tim Powers";"1996"
"0812558251";"series";"white";"Patricia C. Wrede";"1990"
"0812558626";"briar";"rose";"Jane Yolen";"1993"
"0812561627";"farscape";"farscape";"Keith Decandido";"2001"
"0812562674";"galactic";"gourmet";"James White";"1997"
"0812562836";"symphony";"null";"Charles Grant";"1998"
"0812562844";"milennium";"quartet,";"Charles Grant";"1999"
"0812563190";"chronicles";"elvenblood";"Andre Norton";"1996"
"0812563581";"relic";"the";"Douglas Preston";"1996"
"0812564367";"historic";"haunted";"Michael Norman";"1996"
"0812564375";"dragon";"mount";"Douglas Preston";"1997"
"0812564618";"vulcans";"philip";"Jack B. Du Brul";"1999"
"0812564936";"demons";"second";"David Drake";"1999"
"0812565339";"jennie";"null";"Douglas Preston";"1997"
"0812565495";"moonlight";"newford";"Charles de Lint";"1999"
"0812565657";"classics";"ivanhoe";"Sir Walter Scott";"2000"
"0812565959";"paperback";"hegemon";"Orson Scott Card";"2001"
"0812566629";"darwinia";"null";"Robert Charles Wilson";"1999"
"0812566637";"legends";"fantasy,";"Robert Silverberg";"1999"
"0812566645";"legends";"3";"Robert Silverberg";"2000"
"081256667X";"christmas";"wedding";"Andrew M. Greeley";"2001"
"0812566726";"paperback";"danielle";"Jon Land";"2000"
"0812566785";"rainbow";"mars";"Larry Niven";"2000"
"0812568710";"millennium";"010100";"R. J. Pineiro";"1999"
"0812570065";"matter";"gray";"Gary Braver";"2004"
"0812570219";"midnight";"mystery";"Carole Nelson Douglas";"2003"
"0812570227";"midnight";"mystery";"Carole Nelson Douglas";"2002"
"0812570715";"cleopatras";"needle";"Steven Siebert";"2000"
"0812570812";"rhapsody";"child";"Elizabeth Haydon";"2000"
"0812570944";"dreams";"novel";"Richard Matheson";"1998"
"0812571118";"geodyssey";"earth";"Piers Anthony";"1998"
"0812571290";"factoring";"humanity";"Robert J. Sawyer";"1999"
"0812571339";"crossroads";"twilight";"Robert Jordan";"2003"
"0812571762";"senators";"daughter";"Victoria Gotti";"1998"
"0812571789";"predators";"the";"Harold Robbins";"1999"
"0812571983";"marrow";"marrow";"F. Paul Wilson";"1998"
"0812571991";"repairman";"repairman";"F. Paul Wilson";"2000"
"0812572122";"echoes";"stir";"Richard Matheson";"1999"
"0812572270";"callahans";"crosstime";"Spider Robinson";"1999"
"0812572289";"travelers";"strictly";"Spider Robinson";"2001"
"0812574621";"animist";"null";"Eve Forward";"2001"
"0812574737";"dastard";"xanth";"Piers Anthony";"2001"
"0812574923";"rebellion";"century";"Morgan Llywelyn";"1999"
"0812574966";"xanth";"vale";"Piers Anthony";"2000"
"0812575059";"conspiracycom";"novel";"R. J. Pineiro";"2002"
"0812575237";"legends";"masters";"Terry Goodkind";"1999"
"0812575482";"through";"wolfs";"Jane Lindskold";"2002"
"081257558X";"winters";"heart";"Robert Jordan";"2002"
"0812575717";"enders";"shadow";"Orson Scott Card";"2000"
"0812575911";"elixir";"null";"Gary Braver";"2001"
"0812575962";"blackie";"missing";"Andrew M. Greeley";"2001"
"0812575970";"germain";"blackie";"Andrew Greeley";"2002"
"0812575989";"blackie";"bishop";"Andrew M. Greeley";"2003"
"0812576063";"paperback";"mcgrail";"Andrew M. Greeley";"2002"
"0812576071";"mystery";"mcgrail";"Andrew M. Greeley";"2003"
"0812576152";"combat";"combat,";"Stephen Coonts";"2002"
"0812576365";"tangled";"blue";"Joan D. Vinge";"2001"
"081257639X";"fallen";"sword";"Terry Goodkind";"2001"
"0812576403";"light";"other";"Arthur C. Clarke";"2001"
"0812577701";"paperback";"whiskey";"Andrew M. Greeley";"1998"
"0812579011";"detectives";"midnight";"Carole Nelson Douglas";"2000"
"0812579046";"others";"null";"James Herbert";"2000"
"0812579402";"venus";"grand";"Ben Bova";"2001"
"0812579569";"domain";"null";"Steve Alten";"2002"
"081257995X";"wheel";"world";"Robert Jordan";"2000"
"0812580109";"saturns";"race";"Larry Niven";"2001"
"0812580133";"cinderella";"affidavit";"Michael Fredrickson";"2000"
"0812580281";"genesis";"null";"Poul Anderson";"2001"
"0812580346";"flashforward";"null";"Robert J. Sawyer";"2000"
"0812580354";"calculating";"god";"Robert J. Sawyer";"2001"
"0812580370";"cyclerepairman";"adversary";"F. Paul Wilson";"1998"
"0812583361";"game";"god";"Andrew M. Greeley";"1987"
"0812583418";"angel";"fire";"Andrew M. Greeley";"2004"
"0812585151";"llywelyn";"odyssey";"Morgan Llywelyn";"1987"
"0812589041";"enders";"game";"Orson Scott Card";"1999"
"0812589718";"daughter";"god";"Lewis Perdue";"2001"
"0812589823";"anasazi";"mystery";"Kathleen O'Neal Gear";"2002"
"0812590236";"paperback";"mcgrail";"Andrew M. Greeley";"2000"
"0812590244";"paperback";"mcgrail";"Andrew M. Greeley";"2001"
"0812590252";"midwinters";"paperback";"Andrew M. Greeley";"1999"
"0812590260";"paperback";"springtime";"Andrew M. Greeley";"2000"
"0812590449";"provence";"die";"Norman Bogner";"1999"
"0812590554";"conclave";"smoke";"Andrew M. Greeley";"1997"
"0812590961";"autumn";"aztec";"Gary Jennings";"1998"
"0812590988";"aztec";"aztec";"Gary Jennings";"2002"
"0812694333";"philosophy";"simpsons";"William Irwin";"2001"
"0812695313";"philosophy";"philosophy";"James B. South";"2003"
"0812885066";"astrology";"youll";"Joanna Martine Woolfolk";"1990"
"0812885406";"history";"sex";"Reay Tannahill";"1982"
"0812925300";"growing";"female";"Susan J. Douglas";"1995"
"081296666X";"girlfriend";"things";"Mil Millington";"2003"
"081296683X";"girls";"night";"Jill Davis";"2003"
"0812966880";"april";"witch";"Majgull Axelsson";"2003"
"0812967224";"confessions";"reluctant";"Dan Zevin";"2002"
"0812967240";"birthday";"fing";"MERRILL MARKOE";"2002"
"081296814X";"ballantine";"readers";"ELIZABETH BERG";"2003"
"0812968379";"growing";"iranian";"FIROOZEH DUMAS";"2004"
"0812969006";"everybody";"atrocious";"LAURIE NOTARO";"2004"
"0812969650";"clothes";"today";"Alan Bennett";"2002"
"0812969812";"blessings";"novel";"ANNA QUINDLEN";"2003"
"0812970802";"memoir";"meets";"Lauren F. Winner";"2003"
"0812971043";"dante";"novel";"MATTHEW PEARL";"2004"
"081297106X";"reading";"tehran";"Azar Nafisi";"2003"
"0816704651";"unabridged";"complete";"L.M. Montgomery";"1985"
"0816707987";"watermill";"classics";"Troll Books";"1987"
"0816710384";"whipping";"the";"Sid Fleischman";"1987"
"0816714630";"watermill";"times";"Charles Dickens";"1988"
"0816727953";"amazing";"journey";"Dan Nevins";"1992"
"0816739161";"forever";"blossom";"Suzanne Weyn";"1996"
"0821221817";"national";"postcard";"Ansel Adams";"1995"
"0821717030";"shudder";"could";"John Dickson Carr";"1986"
"0821718436";"night";"stone";"Rick Hautala";"1986"
"0821723030";"eclipse";"null";"William Stevenson";"1988"
"0821725025";"dakota";"dreams";"Constance O'Banyon";"1988"
"0821729128";"whispered";"kisses";"Janelle Taylor";"1990"
"0821731130";"woodchipper";"murder";"Arthur Herzog";"1990"
"0821733621";"songs";"love";"Katherine Stone";"1991"
"0821737163";"sweet";"texas";"Evelyn Rogers";"1992"
"0821737902";"small";"girls";"Pamela Wallace";"1992"
"0821739514";"information";"privileged";"Stephen White";"1996"
"0821741810";"midnight";"secrets";"Janelle Taylor";"1993"
"0821742841";"forest";"lady";"Jennifer Roberson";"1993"
"0821746480";"gift";"the";"Constance O'Day-Flannery";"1994"
"0821748564";"endings";"happy";"Katherine Stone";"1995"
"0821749528";"emily";"dear";"Fern Michaels";"1995"
"0821752286";"wish";"list";"Fern Michaels";"1996"
"0821752812";"keeping";"counsel";"R. A. Forster";"1996"
"0821753096";"affections";"forbidden";"Janet Dailey";"1996"
"0821754408";"joyous";"season";"Fern Michaels";"1996"
"0821755943";"vegas";"rich";"Fern Michaels";"1997"
"0821756389";"whitefire";"null";"Fern Michaels";"1997"
"0821756591";"summer";"love";"Janelle Taylor";"1997"
"0821757032";"contemporary";"candlelight";"Janelle Taylor";"1997"
"082175758X";"vegas";"heat";"Fern Michaels";"1997"
"0821758179";"faery";"magic";"Mary Jo Putney";"1998"
"082175842X";"revenge";"best";"Stella Cameron";"1998"
"0821758438";"reckless";"heart";"Jo Goodman";"1998"
"082175856X";"saras";"song";"Fern Michaels";"1998"
"0821758578";"pleasure";"kings";"Shannon Drake";"1998"
"0821758608";"historical";"highland";"Amanda Scott";"1998"
"0821759191";"chronicles";"bertrice";"Bertrice Small";"1998"
"0821759833";"trilogy";"sunrise";"Fern Michaels";"1998"
"0821759973";"dreams";"our";"Linda Lael Miller";"1998"
"0821760262";"historical";"romance";"Janelle Taylor";"1998"
"0821761730";"contemporary";"romance";"Fern Michaels";"1999"
"0821762516";"quarter";"french";"Stella Cameron";"1999"
"0821762532";"nowhere";"out";"Doris Mortman";"1999"
"0821762818";"silent";"rose";"Kat Martin";"1999"
"0821762982";"suspense";"romantic";"Shannon Drake";"1999"
"0821763075";"finders";"keepers";"Fern Michaels";"1999"
"0821763415";"dark";"the";"Meagan McKinney";"1999"
"0821764012";"historical";"arranged";"Jo Beverley";"1999"
"0821764217";"lakota";"dawn";"Janelle Taylor";"1999"
"0821764527";"celebration";"null";"Fern Michaels";"2000"
"0821764713";"morning";"come";"Shannon Drake";"2000"
"0821765221";"zebra";"book";"Kasey Michaels";"2000"
"0821765957";"west";"key";"Stella Cameron";"2000"
"0821766139";"without";"not";"Janelle Taylor";"2000"
"0821766392";"conquer";"night";"Shannon Drake";"2000"
"0821766570";"guest";"list";"Fern Michaels";"2000"
"0821766775";"present";"danger";"Susan Andersen";"2000"
"0821766929";"darkness";"falls";"Shannon Drake";"2000"
"0821767089";"only";"knew";"Lisa Jackson";"2000"
"0821767240";"unwilling";"bride";"Jo Beverley";"2000"
"0821767739";"historical";"romance";"Shannon Drake";"2001"
"0821767747";"good";"true";"Kasey Michaels";"2001"
"0821767852";"yesterday";"null";"Fern Michaels";"2001"
"0821767860";"thoroughly";"kissed";"Kristine Grayson";"2001"
"0821767984";"secret";"the";"Kat Martin";"2001"
"0821768093";"contemporary";"romance";"Kylie Adams";"2001"
"0821768166";"houses";"glass";"Stella Cameron";"2001"
"082176828X";"what";"wish";"Fern Michaels";"2001"
"0821768328";"still";"night";"Meagan McKinney";"2002"
"0821768379";"midnight";"deep";"Shannon Drake";"2001"
"0821768417";"suspense";"romantic";"Lisa Jackson";"2001"
"0821768433";"christmas";"angel";"Jo Beverley";"2001"
"0821768441";"love";"baby";"Kasey Michaels";"2001"
"0821769251";"historical";"highland";"Hannah Howell";"2002"
"0821769278";"plain";"jane";"Fern Michaels";"2002"
"0821769286";"triumphant";"historical";"Shannon Drake";"2002"
"0821769308";"tell";"why";"Stella Cameron";"2002"
"0821769332";"deep";"too";"Janelle Taylor";"2001"
"0821769340";"blooded";"cold";"Lisa Jackson";"2002"
"0821769359";"suspense";"romantic";"Kat Martin";"2002"
"0821769367";"before";"night";"Lisa Jackson";"2003"
"0821770195";"charming";"zebra";"Fern Michaels";"2001"
"0821770209";"about";"face";"Fern Michaels";"2003"
"0821770500";"historical";"moonlight";"Meagan McKinney";"2002"
"0821770624";"golden";"rings";"Fern Michaels";"2000"
"0821770802";"suspense";"romantic";"Janelle Taylor";"2001"
"0821770829";"finding";"ian";"Stella Cameron";"2002"
"0821770837";"cold";"july";"Stella Cameron";"2003"
"0821770985";"wonderful";"simply";"Joan Hohl";"2003"
"0821771108";"contemporary";"regency";"Lisa Plumley";"2001"
"0821771116";"historical";"romance";"Lisa Plumley";"2002"
"0821771167";"think";"when";"Liz Ireland";"2002"
"0821771175";"contemporary";"tonight";"Kasey Michaels";"2002"
"0821771183";"this";"must";"Kasey Michaels";"2003"
"082177140X";"dream";"you";"Judi McCoy";"2001"
"0821771450";"night";"moves";"Janelle Taylor";"2002"
"0821771477";"completely";"smitten";"Kristine Grayson";"2002"
"0821771485";"irresistible";"simply";"Kristine Grayson";"2002"
"0821772120";"waking";"moment";"Meryl Sawyer";"2002"
"0821772139";"killer";"lady";"Meryl Sawyer";"2004"
"0821772155";"victim";"fifth";"Beverly Barton";"2003"
"0821772228";"calder";"green";"Janet Dailey";"2003"
"0821772244";"capital";"holiday";"Janet Dailey";"2001"
"0821772252";"scrooge";"spurs";"Janet Dailey";"2002"
"0821772279";"shadows";"realm";"Shannon Drake";"2002"
"0821772287";"awakening";"the";"Shannon Drake";"2003"
"0821772341";"kentucky";"rich";"Fern Michaels";"2002"
"0821772414";"catch";"the";"Marcia Evanick";"2002"
"0821772872";"historical";"romance";"Shannon Drake";"2003"
"0821772937";"chocolate";"better";"Janet Dailey";"2002"
"0821772953";"morning";"after";"Lisa Jackson";"2004"
"0821772996";"dont";"tell";"S. K. McClafferty";"2002"
"0821773402";"reconsidering";"riley";"Lisa Plumley";"2002"
"082177347X";"tempting";"fortune";"Jo Beverley";"2002"
"0821773682";"kentucky";"heat";"Fern Michaels";"2002"
"0821773801";"midnight";"sun";"Kat Martin";"2003"
"082177462X";"kentucky";"sunrise";"Fern Michaels";"2003"
"082177512X";"joe?";"say";"Lori Foster";"2003"
"0821775286";"sundown";"after";"Amanda Ashley";"2003"
"0821775472";"historical";"romance";"Shannon Drake";"2004"
"0821775863";"scrolls";"future";"Fern Michaels";"2003"
"0821775995";"historical";"forbidden";"Jo Beverley";"2003"
"0821776037";"whispers";"null";"Lisa Jackson";"2003"
"0821776118";"christmas";"maybe";"Janet Dailey";"2003"
"0821776436";"snow";"let";"Fern Michaels";"2003"
"0826308791";"education";"little";"Forrest Carter";"1986"
"0826321933";"wisconsin";"wisconsin";"Michael Lesy";"2000"
"0834800799";"beginners";"mind,";"Shunryu Suzuki";"1972"
"0836204158";"obvious";"survive";"Scott Adams";"1995"
"0836204255";"gallery";"side";"Gary Larson";"1995"
"0836204387";"anniversary";"calvin";"Bill Watterson";"1995"
"0836210263";"pumped";"still";"Scott Adams";"1996"
"0836211499";"beyond";"side";"Gary Larson";"1983"
"0836212002";"side";"the";"Gary Larson";"1982"
"0836213122";"everywherea";"collection";"Bill Watterson";"1996"
"0836213319";"postcards";"dilbert";"Scott Adams";"1996"
"0836214439";"barrys";"songs";"Dave Barry";"1997"
"0836217012";"series";"planet";"Gary Larson";"1992"
"0836217179";"chickens";"restless";"Gary Larson";"1993"
"0836217241";"gallery";"side";"Gary Larson";"1993"
"0836217357";"collection";"calvin";"Bill Watterson";"1993"
"0836217373";"clueless";"clues";"Scott Adams";"1993"
"0836217403";"whales";"shave";"Scott Adams";"1994"
"0836217578";"stealing";"supplies";"Scott Adams";"1994"
"0836217632";"collection";"madame";"Gary Larson";"1994"
"0836217691";"collection";"homicidal";"Bill Watterson";"1994"
"0836217799";"mailboy";"bring";"Scott Adams";"1995"
"0836218051";"essential";"calvin";"Bill Watterson";"1988"
"0836218221";"authoritative";"calvin";"Bill Watterson";"1990"
"0836218256";"something";"drooling";"Bill Watterson";"1988"
"0836218310";"paperback";"gallery";"Gary Larson";"1988"
"0836218353";"yukon";"ho";"Bill Watterson";"1989"
"0836218426";"preserves";"wildlife";"Gary Larson";"1989"
"0836218515";"prehistory";"side";"Gary Larson";"1989"
"0836218523";"calvin";"hobbes";"Bill Watterson";"1989"
"0836218620";"weirdos";"another";"Bill Watterson";"1990"
"0836218655";"wiener";"dog";"Gary Larson";"1990"
"0836218663";"babysat";"revenge";"Bill Watterson";"1991"
"0836218787";"scientific";"collection";"Bill Watterson";"1991"
"0836218817";"selections";"unnatural";"Gary Larson";"1991"
"0836218833";"deranged";"attack";"Bill Watterson";"1992"
"0836218981";"indispensable";"calvin";"Bill Watterson";"1992"
"0836220498";"crashtest";"dummies";"Gary Larson";"1988"
"0836220609";"search";"side";"Gary Larson";"1984"
"0836220625";"gallery";"side";"Gary Larson";"1984"
"0836220668";"bride";"side";"Gary Larson";"1985"
"0836220676";"valley";"side";"Gary Larson";"1985"
"0836220730";"came";"from";"Gary Larson";"1986"
"0836220854";"gallery";"side";"Gary Larson";"2003"
"0836220870";"collection";"books,";"Gary Larson";"1987"
"0836220889";"calvin";"hobbes";"Bill Watterson";"1987"
"0836220986";"observer";"side";"Gary Larson";"1987"
"0836221192";"fugitive";"dilbert";"Scott Adams";"1996"
"0836221311";"chapter";"worse";"Gary Larson";"1996"
"0836221362";"collection";"magical";"Bill Watterson";"1996"
"0836223012";"simple";"things";"Michele Montez";"1990"
"0836226844";"bestloved";"americas";"Erma Bombeck";"1996"
"0836228995";"casual";"gone";"Scott Adams";"1997"
"0836236688";"defective";"dilbert";"Scott Adams";"1997"
"0836251822";"antiidiotdilbert";"antibusiness,";"Scott Adams";"1998"
"0836267850";"christmas";"simplify";"Elaine St James";"1998"
"0836270061";"magic";"eye,";"N.E. Thing Enterprises";"1993"
"0836270096";"magic";"eye,";"N.E. Thing Enterprises";"1994"
"0836278445";"leadershipa";"dilbert";"Scott Adams";"1999"
"0837850681";"storybook";"bibleland";"Alice Joyce Davidson";"1984"
"0840734247";"skeleton";"closet";"Paul Maier";"1993"
"0840776381";"novel";"dead";"Bob Larson";"1991"
"0841914060";"stories";"royal";"Stefan Zweig";"2000"
"084230052X";"atonement";"child";"Francine Rivers";"1999"
"0842314296";"hinds";"places";"Hannah Hurnard";"1997"
"0842321934";"vanishings";"behind";"Jerry B. Jenkins";"1998"
"0842321942";"behind";"second";"Jerry B. Jenkins";"1998"
"0842321950";"through";"behind";"Jerry B. Jenkins";"1998"
"0842321969";"behind";"facing";"Jerry B. Jenkins";"1998"
"0842329110";"behind";"earths";"Tim Lahaye";"1995"
"0842329129";"behind";"earths";"Tim Lahaye";"1996"
"0842329145";"antichrist";"nicolae";"Tim Lahaye";"1997"
"0842329153";"harvest";"behind";"Tim Lahaye";"1998"
"0842329161";"apollyon";"destroyer";"Tim Lahaye";"1999"
"084232920X";"assignment";"assassins";"Tim Lahaye";"1999"
"0842329218";"tribulation";"continuing";"Tim LaHaye";"1997"
"0842329242";"antichrist";"nicolae";"Tim F. Lahaye";"1998"
"0842329250";"harvest";"behind";"Tim Lahaye";"1999"
"0842329269";"apollyon";"destroyer";"Jerry Jenkins";"2000"
"0842329277";"assignment";"assassins";"Tim Lahaye";"2000"
"0842329285";"indwelling";"possession";"Tim Lahaye";"2000"
"0842329293";"indwelling";"possession";"Tim Lahaye";"2001"
"0842332251";"behind";"mark";"Tim LaHaye";"2000"
"084233226X";"desecration";"antichrist";"Tim Lahaye";"2001"
"0842332278";"armageddon";"remnant";"Tim LaHaye";"2002"
"0842332286";"behind";"mark";"Tim Lahaye";"2001"
"0842332294";"desecration";"antichrist";"Tim LaHaye";"2002"
"0842332308";"armageddon";"remnant";"Tim F. Lahaye";"2003"
"0842332340";"armageddon";"cosmic";"Tim F. LaHaye";"2003"
"0842332359";"appearing";"glorious";"Tim F. Lahaye";"2004"
"0842332367";"armageddon";"behind";"Tim Lahaye";"2003"
"0842335684";"scarlet";"thread";"Francine Rivers";"1996"
"0842342702";"behind";"earths";"Tim Lahaye";"2000"
"0842343253";"nicolae";"behind";"Jerry B. Jenkins";"1999"
"0842343261";"underground";"behind";"Jerry B. Jenkins";"1999"
"084234327X";"busted";"behind";"Jerry Jenkins";"2000"
"0842343288";"strike";"behind";"Jerry Jenkins";"2000"
"0842345523";"carpenter";"more";"Josh McDowell";"1987"
"0842345566";"carpenter";"more";"Josh McDowell";"1977"
"0842355715";"finding";"rings";"Kurt D. Bruner";"2001"
"0842361715";"darkness";"present";"Frank E. Peretti";"2002"
"0842365826";"fiction";"moving";"Francine Rivers";"2003"
"084236661X";"strongwilled";"adolescence";"James Dobson";"1985"
"0842373195";"extraordinary";"ordinary";"Lisa Beamer";"2002"
"0842377506";"voice";"mark";"Francine Rivers";"1998"
"0842382127";"why";"you";"Tim Dr. Lahaye";"1988"
"0842384065";"soon";"null";"Jerry B. Jenkins";"2003"
"0843136685";"correspondence";"excruciating";"Sam Bobrick";"1994"
"0843936398";"savage";"savage";"Cassie Edwards";"1994"
"084394000X";"leisure";"special";"Madeline Baker";"1996"
"0843941979";"feather";"wind";"Madeline Baker";"2004"
"0843943289";"sheik";"null";"Connie Mason";"1997"
"0843944021";"viking";"null";"Connie Mason";"1998"
"0843944390";"halloween";"the";"Douglas Clegg";"1998"
"0843944463";"futuristic";"romance";"Dara Joy";"1998"
"0843944579";"tender";"love";"Sandra Hill";"1998"
"0843944692";"eagle";"null";"Elaine Barbieri";"1999"
"0843944765";"spirits";"song";"Madeline Baker";"1999"
"0843945435";"spell";"haunt";"J. N. Williamson";"1999"
"0843945508";"spell";"love";"Richard Laymon";"1999"
"0843945656";"switch";"the";"Lynsay Sands";"1999"
"0843946229";"knight";"black";"Connie Mason";"1999"
"0843946415";"paperback";"mysteries";"Robert J. Randisi";"1999"
"0843946903";"rainy";"night";"Richard Laymon";"2000"
"0843946911";"snow";"fire";"Norah Hess";"2000"
"0843947357";"devotion";"savage";"Cassie Edwards";"2000"
"0843947462";"house";"built";"Graham Masterton";"2000"
"0843947667";"mischief";"null";"Douglas Clegg";"2000"
"0843947810";"santa";"steps";"Robert Devereaux";"2000"
"0843947888";"missing";"among";"Richard Laymon";"2000"
"0843947896";"outlaws";"outlaws";"Connie Mason";"2000"
"0843948264";"secret";"fires";"Elaine Barbieri";"2001"
"0843948272";"viking";"blue";"Sandra Hill";"2001"
"0843948302";"voice";"blood";"Jemiah Jefferson";"2001"
"084394840X";"flint";"null";"Norah Hess";"2001"
"0843948507";"traveling";"vampire";"Richard Laymon";"2001"
"0843948574";"naomi";"null";"Douglas Clegg";"2001"
"0843948647";"sleepeasy";"null";"T. M. Wright";"2001"
"0843948760";"lost";"the";"Jack Ketchum";"2001"
"0843948787";"agreement";"secret";"Constance O'Banyon";"2001"
"0843948884";"fallen";"null";"Celeste Bradley";"2001"
"0843948892";"savage";"honor";"Cassie Edwards";"2001"
"0843949074";"house";"pain";"Sephera Giron";"2001"
"0843949090";"bliss";"null";"Lynsay Sands";"2001"
